,Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
0,ACLBSL,860.00,1.42,872.00,840.20,855.00,655,,
1,ADBL,332.20,-0.24,338.00,331.70,336.00,"48,655",,
2,AHPC,357.50,0.11,364.50,354.00,354.00,"63,321",,
3,AKJCL,200.30,0.1,207.00,200.10,202.00,"52,176",,
4,AKPL,468.00,1.28,474.90,461.00,464.90,"126,852",,
5,ALBSL,"1,280.00",1.99,"1,290.00","1,251.10","1,261.00","1,827",,
6,ALICL,595.90,1.69,600.00,574.30,574.30,"53,421",,
7,API,253.00,-0.39,259.00,251.00,257.00,"214,474",,
8,BARUN,299.00,0.13,321.00,298.60,304.50,"93,683",,
9,BBC,"3,750.00",2.04,"3,780.00","3,745.00","3,748.00",175,,
10,BFC,385.00,2.53,395.00,376.90,376.90,"20,622",,
11,BHL,244.00,2.95,248.80,232.50,232.50,"7,432",,
12,BNHC,370.00,0,385.00,363.10,363.10,"1,318",,
13,BNT,"13,370.00",1.49,"13,695.00","13,230.00","13,429.00",205,,
14,BOKD86,795.00,0,795.00,780.10,780.10,100,,
15,BPCL,327.10,0.34,332.00,325.00,330.00,"15,770",,
16,CBBL,"1,062.00",0.38,"1,079.10","1,058.00","1,079.00","9,566",,
17,CBLD88,922.50,-7.75,980.10,922.50,980.10,50,,
18,CCBL,188.20,1.07,189.70,186.00,188.00,"40,654",,
19,CFCL,311.00,2.64,319.90,297.00,297.00,"29,645",,
20,CGH,"1,117.00",3.05,"1,124.50","1,085.00","1,105.00","5,491",,
21,CHCL,401.10,-0.72,410.00,400.10,400.10,"15,021",,
22,CHDC,776.00,4.3,800.00,730.00,730.00,"37,791",,
23,CHL,267.00,2.3,272.00,260.90,266.20,"9,589",,
24,CIT,"2,612.00",0.08,"2,649.00","2,606.00","2,624.00","10,336",,
25,CLBSL,820.00,1.86,833.00,791.00,791.00,"2,213",,
26,CMF1,8.59,0.47,8.85,8.26,8.50,"122,949",,
27,CMF2,9.30,-2.62,9.36,9.12,9.36,"10,585",,
28,CORBL,315.00,0.96,323.20,313.00,317.80,"13,860",,
29,CZBIL,207.00,0.49,208.80,205.00,206.00,"30,922",,
30,DDBL,998.20,1.65,"1,008.00",990.00,999.00,"6,142",,
31,DHPL,205.00,0.99,214.00,201.00,201.00,"8,687",,
32,DORDI,299.10,-1.29,312.00,297.50,302.00,"13,090",,
33,EBL,457.90,2.9,458.70,436.20,440.00,"226,720",,
34,EDBL,347.50,2.06,354.00,342.00,342.00,"19,966",,
35,ENL,836.00,8.01,850.00,782.00,789.00,"13,621",,
36,FMDBL,700.00,3.72,700.00,680.00,688.00,"22,644",,
37,FOWAD,"2,440.00",1.41,"2,477.00","2,411.10","2,440.00","12,571",,
38,GBBL,390.00,0.52,395.80,385.40,390.00,"36,088",,
39,GBD80/81,943.00,-5.7,980.00,941.20,980.00,200,,
40,GBILD86/87,769.00,-1.66,775.00,763.10,775.00,105,,
41,GBLBS,783.90,3.28,785.00,750.00,751.00,"46,921",,
42,GFCL,494.00,1.79,504.90,486.00,494.50,"42,245",,
43,GHL,207.10,-0.81,214.00,205.00,209.00,"26,994",,
44,GILB,"1,393.00",1.16,"1,409.00","1,372.00","1,404.50","3,856",,
45,GIMES1,10.00,0,10.50,9.75,10.10,"81,500",,
46,GLBSL,995.00,0.49,"1,050.60",990.00,"1,009.90","1,015",,
47,GLH,311.00,-0.64,320.00,305.00,311.00,"7,288",,
48,GMFBS,980.00,6.94,990.00,934.70,934.70,"1,640",,
49,GMFIL,327.00,4.81,327.00,315.00,318.00,"47,570",,
50,GRDBL,234.40,1.47,245.00,231.00,235.00,"3,628",,
51,GUFL,519.00,3.84,523.00,490.00,509.00,"103,579",,
52,GVL,324.00,5.54,328.00,306.00,307.00,"45,015",,
53,HBL,308.00,0,310.00,305.00,308.00,"8,560",,
54,HDHPC,203.00,0,209.40,203.00,207.00,"46,402",,
55,HDL,"3,515.00",0.43,"3,580.00","3,500.00","3,500.00","23,955",,
56,HIDCL,203.10,0.1,208.80,198.90,198.90,"96,075",,
57,HPPL,329.00,3.13,335.50,319.00,319.00,"23,649",,
58,HURJA,238.00,0.59,251.00,233.00,233.00,"9,054",,
59,ICFC,479.00,5.27,487.50,456.00,461.00,"109,006",,
60,IGI,387.90,3.47,391.00,375.00,379.00,"34,361",,
61,ILBS,"1,040.00",4,"1,050.00","1,019.20","1,020.00","5,154",,
62,JALPA,"2,545.00",4.26,"2,599.00","2,460.00","2,485.00","9,011",,
63,JBBL,307.00,0.82,310.10,298.50,298.50,"59,620",,
64,JBLB,"2,741.00",1.56,"2,770.00","2,699.00","2,699.00","7,412",,
65,JFL,387.00,3.2,390.90,375.20,375.20,"16,735",,
66,JOSHI,202.40,-0.78,210.00,200.00,200.00,"11,039",,
67,JSLBB,"1,845.00",1.94,"1,900.00","1,809.90","1,809.90","2,206",,
68,KBL,199.60,-0.15,203.70,197.20,200.00,"52,961",,
69,KEF,9.33,-1.69,9.42,9.25,9.32,"24,600",,
70,KKHC,213.90,0.85,216.30,207.90,216.00,"7,592",,
71,KLBSL,941.00,3.63,945.00,925.00,926.10,830,,
72,KMCDB,"1,138.00",0.98,"1,172.40","1,127.00","1,127.00","2,837",,
73,KPCL,388.00,-0.26,393.00,381.30,381.30,"6,170",,
74,KRBL,230.00,-1.71,241.00,230.00,237.90,"13,401",,
75,KSBBL,360.90,1.38,367.00,353.00,360.00,"32,178",,
76,LBBL,346.90,2.33,352.00,342.00,344.00,"42,464",,
77,LBL,203.00,0.1,206.80,202.00,203.00,"27,713",,
78,LEC,248.10,-1.94,259.00,248.00,258.00,"15,045",,
79,LEMF,10.27,1.68,10.30,10.10,10.30,"6,600",,
